attempt,filename,reason,status,thickness
safe-medium,asymmetric-button-womens-shirt-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0007,safe_thick,0.024000
safe-medium,asymmetric-wrap-shirt-dress-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,basic-short-sleeve-tshirt-3d-model.glb,largest_ratio=1.0001 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,belted-womens-shirt-jacket-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,classic-womens-button-shirt-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,coat-3d-model-01-434a44f6.glb,largest_ratio=1.0016 axis_ratio=1.0071,safe_thick,0.024000
safe-medium,coat-3d-model-06-86bfa5a3.glb,largest_ratio=1.0020 axis_ratio=1.0048,safe_thick,0.024000
safe-medium,dress-3d-model-01-eff7aaa8.glb,largest_ratio=1.0004 axis_ratio=1.0056,safe_thick,0.024000
safe-medium,dress-3d-model-07-cb612f18.glb,largest_ratio=1.0012 axis_ratio=1.0050,safe_thick,0.024000
safe-medium,dress-3d-model-09-859cc333.glb,largest_ratio=1.0014 axis_ratio=1.0094,safe_thick,0.024000
safe-medium,dress-3d-model-11-0ef20947.glb,largest_ratio=1.0009 axis_ratio=1.0042,safe_thick,0.024000
safe-medium,fitted-button-front-womens-blouse-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0009,safe_thick,0.024000
safe-medium,hat-3d-model-02-3806493f.glb,largest_ratio=1.0027 axis_ratio=1.0036,safe_thick,0.024000
safe-medium,hat-3d-model-11-6ca90458.glb,largest_ratio=1.0023 axis_ratio=1.0080,safe_thick,0.017901
safe-medium,henley-roll-sleeve-shirt-3d-garment-model.glb,largest_ratio=1.0002 axis_ratio=1.0007,safe_thick,0.024000
safe-medium,hoodie-mockup-3d-model-04-e77e8039.glb,largest_ratio=1.0013 axis_ratio=1.0082,safe_thick,0.024000
safe-medium,jacket-3d-model-02-c70928e8.glb,largest_ratio=1.0020 axis_ratio=1.0088,safe_thick,0.024000
safe-medium,jacket-3d-model-08-8d4724a3.glb,largest_ratio=1.0018 axis_ratio=1.0089,safe_thick,0.024000
safe-medium,jacket-3d-model-09-96decb80.glb,largest_ratio=1.0016 axis_ratio=1.0053,safe_thick,0.024000
safe-medium,jacket-3d-model-10-9cec3db9.glb,largest_ratio=1.0019 axis_ratio=1.0039,safe_thick,0.024000
safe-medium,jacket-3d-model-11-768cab6d.glb,largest_ratio=1.0019 axis_ratio=1.0039,safe_thick,0.024000
safe-medium,jacket-3d-model-13-c469b1be.glb,largest_ratio=1.0023 axis_ratio=1.0079,safe_thick,0.024000
safe-medium,jumpsuit-3d-model-01-3efb87d6.glb,largest_ratio=1.0003 axis_ratio=1.0082,safe_thick,0.024000
safe-medium,jumpsuit-3d-model-03-6a89d31d.glb,largest_ratio=1.0004 axis_ratio=1.0104,safe_thick,0.024000
safe-medium,jumpsuit-3d-model-05-d919adda.glb,largest_ratio=1.0027 axis_ratio=1.0083,safe_thick,0.024000
safe-medium,long-button-front-womens-shirt-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,long-sleeve-crewneck-shirt-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,long-sleeve-high-neck-base-layer-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,long-sleeve-turtleneck-top-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,longline-short-sleeve-top-3d-garment-model.glb,largest_ratio=1.0002 axis_ratio=1.0009,safe_thick,0.024000
safe-medium,minimal-long-sleeve-pullover-3d-garment-model.glb,largest_ratio=1.0003 axis_ratio=1.0007,safe_thick,0.024000
safe-medium,pants-3d-model-01-2fc05c1e.glb,largest_ratio=1.0007 axis_ratio=1.0096,safe_thick,0.024000
safe-medium,pants-3d-model-02-3999c50f.glb,largest_ratio=1.0013 axis_ratio=1.0087,safe_thick,0.024000
safe-medium,pants-3d-model-03-3b0f4130.glb,largest_ratio=1.0004 axis_ratio=1.0089,safe_thick,0.024000
safe-medium,pants-3d-model-07-ce8fc26f.glb,largest_ratio=1.0009 axis_ratio=1.0076,safe_thick,0.024000
safe-medium,quarter-zip-long-sleeve-top-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,round-neck-button-womens-top-3d-model.glb,largest_ratio=1.0002 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,shirt-3d-model-01-7911a7bb.glb,largest_ratio=1.0028 axis_ratio=1.0074,safe_thick,0.024000
safe-medium,shirt-3d-model-02-66e9b2b5.glb,largest_ratio=1.0028 axis_ratio=1.0078,safe_thick,0.024000
safe-medium,short-sleeve-panel-tee-3d-garment-model.glb,largest_ratio=1.0004 axis_ratio=1.0007,safe_thick,0.024000
safe-medium,short-sleeve-polo-shirt-3d-model.glb,largest_ratio=1.0003 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,tie-neck-womens-blouse-3d-model.glb,largest_ratio=1.0001 axis_ratio=1.0008,safe_thick,0.024000
safe-medium,top-3d-model-01-fb5cebc0.glb,largest_ratio=1.0019 axis_ratio=1.0059,safe_thick,0.024000
safe-medium,top-3d-model-03-571971b8.glb,largest_ratio=1.0026 axis_ratio=1.0070,safe_thick,0.015555
safe-medium,underwear-3d-model-01-88d0a731.glb,largest_ratio=1.0025 axis_ratio=1.0059,safe_thick,0.013736
safe-medium,underwear-3d-model-03-d6d81002.glb,largest_ratio=1.0010 axis_ratio=1.0106,safe_thick,0.024000
