axis_ratio,filename,largest_ratio,max_edge_ratio,status,thick_faces,thick_largest,thick_max_edge,thick_vertices,thin_faces,thin_largest,thin_max_edge,thin_vertices
6334.1961,asymmetric-button-womens-shirt-3d-model.glb,5895.1294,486200.4178,suspicious,380660,526755.7500,556907.9344,191134,163706,89.3544,1.1454,95447
2.8309,asymmetric-wrap-shirt-dress-3d-model.glb,2.8309,132.2819,suspicious,250780,180.2201,180.2201,125914,107981,63.6617,1.3624,62917
29455.0902,basic-short-sleeve-tshirt-3d-model.glb,11961.4650,361950.7933,suspicious,1921500,843590.0000,702708.5056,986441,819611,70.5256,1.9414,485741
11.8111,belted-womens-shirt-jacket-3d-model.glb,11.8111,518.4155,suspicious,361416,1082.2230,548.0826,180956,165480,91.6278,1.0572,90460
1.0151,blazer-3d-model-01-20140479.glb,1.0038,0.9992,ok,187224,8.2351,0.1872,93960,84195,8.2039,0.1874,46729
1.1985,blazer-3d-model-02-fce262dc.glb,1.0023,15.3680,ok,158444,9.9917,3.1068,79428,72384,9.9687,0.2022,39613
1.0897,blazer-3d-model-03-fe1aafcd.glb,1.0096,7.2325,ok,88668,8.3933,1.0976,44364,42288,8.3137,0.1518,22181
1.0096,blazer-3d-model-04-f16debcc.glb,1.0041,1.1466,ok,77276,12.0492,0.2333,38670,36548,11.9999,0.2035,19333
1.0137,blazer-3d-model-05-22e9f435.glb,1.0019,1.0329,ok,155524,12.8266,0.1995,77846,73547,12.8019,0.1932,38905
11.0516,classic-womens-button-shirt-3d-model.glb,11.0516,1039.1773,suspicious,278740,1248.2938,1248.2938,139482,128946,112.9513,1.2012,69721
1.0080,cloak-3d-model-01-bbd71a21.glb,1.0013,1.0198,ok,124368,10.6939,0.2298,62184,61518,10.6795,0.2253,31092
1.0079,cloak-3d-model-02-9d3b5bb8.glb,1.0015,1.0259,ok,74468,10.4383,0.2701,37238,36440,10.4223,0.2633,18619
1.0080,cloak-3d-model-03-12e7c69c.glb,1.0013,1.0198,ok,124368,10.6939,0.2298,62184,61518,10.6795,0.2253,31092
1.0082,cloak-3d-model-04-d6e4a1f6.glb,1.0014,1.5676,ok,157152,13.8133,0.3470,78648,75364,13.7943,0.2214,39320
1.0080,cloak-3d-model-05-29b99e07.glb,1.0015,1.0303,ok,48268,12.0233,0.3173,24164,22904,12.0053,0.3080,12082
1.0083,cloak-3d-model-06-542c52da.glb,1.0008,1.0300,ok,34044,8.7648,0.3018,17026,16537,8.7575,0.2930,8513
1.0084,cloak-3d-model-07-0c90ff90.glb,1.0021,1.4892,ok,589980,11.7846,0.2889,295036,290202,11.7605,0.1940,147512
1.0084,cloak-3d-model-08-9d6c527d.glb,1.0021,1.4892,ok,589980,11.7846,0.2889,295036,290202,11.7605,0.1940,147512
1.2436,coat-3d-model-01-434a44f6.glb,1.0833,25.7090,suspicious,120444,9.5414,4.8780,60280,56826,8.8073,0.1897,30140
1.0111,coat-3d-model-02-8e11fd6e.glb,1.0027,1.0069,ok,42720,15.8795,0.4221,21424,19441,15.8371,0.4192,10712
1.0120,coat-3d-model-03-ec81dc3d.glb,1.0007,1.0968,ok,110444,11.4865,0.4105,56414,40071,11.4790,0.3742,27736
1.0095,coat-3d-model-04-b95be9bc.glb,1.0002,1.8808,ok,146984,15.7527,0.3776,73520,70480,15.7499,0.2007,36760
1.0081,coat-3d-model-05-01e5816e.glb,1.0019,1.1095,ok,170548,15.5337,0.1729,85302,82320,15.5042,0.1558,42651
3.2284,coat-3d-model-06-86bfa5a3.glb,2.1916,129.6947,suspicious,1074128,26.2639,13.4783,537108,528678,11.9837,0.1039,268554
1.8886,dress-3d-model-01-eff7aaa8.glb,1.0006,7.4980,suspicious,110504,14.4686,3.8937,55624,47726,14.4598,0.5193,27590
1.0109,dress-3d-model-02-e526e605.glb,1.0012,2.1447,ok,174996,13.6652,1.2982,88074,79170,13.6486,0.6053,43819
1.0091,dress-3d-model-03-729550ef.glb,1.0008,1.0058,ok,139448,14.5907,0.2312,69788,67272,14.5786,0.2299,34894
1.0089,dress-3d-model-04-397699ae.glb,1.0012,1.0046,ok,151280,11.0486,0.2607,75734,70643,11.0359,0.2595,37838
1.0078,dress-3d-model-05-93034d58.glb,1.0011,1.0060,ok,112452,12.3628,0.3574,56498,49928,12.3494,0.3553,28099
1.0102,dress-3d-model-06-29e39d9a.glb,1.0015,1.0134,ok,27108,11.3289,0.5548,13562,13037,11.3123,0.5475,6781
60511.9527,dress-3d-model-07-cb612f18.glb,42421.4655,1284348.7333,suspicious,226232,680146.7500,479083.5368,114002,100154,16.0331,0.3730,57001
1.0361,dress-3d-model-08-911a9d7a.glb,1.0361,5.8357,ok,121984,16.8701,3.2594,62866,59500,16.2823,0.5585,30506
2.0914,dress-3d-model-09-859cc333.glb,1.0019,15.0793,suspicious,45628,10.4170,4.2914,22842,21976,10.3971,0.2846,11415
1.0487,dress-3d-model-10-63149e59.glb,1.0027,4.9974,ok,260396,9.4780,2.0356,130302,121589,9.4523,0.4073,65151
581.9417,dress-3d-model-11-0ef20947.glb,283.1927,21397.4616,suspicious,906408,3974.3674,3974.3674,507898,282249,14.0341,0.1857,252672
